Me: 	What's wrong with you!?
                    Stacy:	No, I know, don't worry. How could you have known?
                    Stacy:	Besides, it ain't every day that a girl's dreams come true, right?
                    Me: 	Quite literally, huh?
                    Stacy:	But, I didn't realize I was actually coming onto you like that.
                    Stacy:	I'm sorry I put you in that position.
                    Me: 	You have nothing to be sorry for, you had no idea what you were doing.
                    Me: 	I mean, you very much knew what you were doing, but you know what I mean.
                    Stacy:	Haha, yes, well it's still embarrassing.
                Me: 	I promise, it's nothing to be ashamed of. Have you mentioned any of this to Eve?
                    Me: 	(Please say no, I can't have Eve busting my balls about inappropriate patient relations twice in one day.)
                    Me: 	(Please say no, I can't have Eve finding out I've been fooling around with patients.)
                Stacy:	No, should I?
                Me: 	Maybe not about our little adventures, but she definitely needs to know about your sleepwalking.
                Stacy:	But, that's pretty normal for me. My parents used to lock my bedroom door to stop me from roaming around the whole farm.
                Me: 	That's not quite typical either. Do you think something could be stressing you out right now?
                Me: 	Something that would cause your sleepy brain to go haywire?
                Stacy:	Well, nothing besides being homesick... and the nightmares I guess.
                Me: 	Have you ever had any sleepwalking incidents when you were with your flock?
                Stacy:	Well, no, I slept like a baby when I got a chance to.
                Stacy:	There was always so much to do, sleeping was never a number one priority.
        Me: 	I'm not surprised. Sleep deprivation is a very common occurrence in groups like yours.
        Stacy:	Hey! No one forced me to lose sleep, it was my choice!
        Me: 	Of course. I never said it wasn't.
        Stacy:	...
        Me: 	And what about the nightmares? Do you think they're related to your flock?
        Stacy:	No, I don't think they are. Besides, you've been having them, too! How'd you explain that, smart guy?
        Me: 	Because nightmares occur when we are stressed, that's a fact.
        Stacy:	Then I guess this camp is stressing me out more than the flock ever did.
        Me: 	I don't think that's what's going on at all.
        Stacy:	And what do you think is happening, huh?
        Me: 	Well, I think you're having separation anxiety.
        Me: 	I don't think that you mentally left them at all, did you?
        Stacy:	Of course not, I always keep them in my thoughts.
        Me: 	But the longer you are here, the more you feel like you're going to lose them forever. Am I wrong?
        Stacy:	...
        Stacy:	I don't think you're completely wrong about that.
        Stacy:	I don't want to lose them.
        Me: 	I understand. Look, this is all a lot; you are mentally dealing with a lot.
        Me: 	I think we should focus on the main thing that can help you right now.
        Me: 	I think you have been burning the candle at both ends, wouldn't you say?
        Narr:	Stacy looks lost in thought but not in her usual dream-like state.
        Narr:	Something you said seems to have shaken her up.
        Stacy:	Hm.
        Me: 	Maybe you should think about resting for a little bit.
        Me: 	I think it would help with your sleep issues if you would allow yourself to relax.
        Narr:	Stacy is nodding her head, you can tell she's listening, but she doesn't look like she will talk to you anymore.
        Me: 	Okay, I think I've given you plenty to think about for one therapy session.
        Me: 	We should wrap it up for today and report back to Dr. Eve.
        Stacy:	For sure, you go ahead, I think I need some time.
        Me: 	Of course.
            Me: 	(I have just enough time to help with lunch.)
        Me: 	(Should I go help with lunch or should I handle Belle's session?)
            Me: 	(Should I go help with lunch or should I handle Belle's session?)
Narr:	You arrive in the kitchen, only to see that the girls are already there.
Emily:	Aw, I love tortilla wraps!
Naomi:	Why? They're basically glorified sandwiches. So, I guess it's fitting.
Eve:	Settle down girls, communal activities strengthen the community's spirit.
Naomi:	I bet Kiara and Violet are lounging in the gazebo by now, setting the table is a much easier task than preparing the food.
Emily:	Come on, Naomi, be positive!
Emily:	Like Eve said, it's all about community.
Me: 	Speaking of community, where's Stacy?
Emily:	Huh? I thought she was with you.
    Me: 	Oh, right, she stayed behind after the session.
    Emily:	She's probably taking a break before lunch then, I wouldn't worry too much.
